,date,close,balance_gbp,type,balance_xrp,total_gbp,buy_and_hold,returns,market_returns
132,2023-05-29,0.40025,0.0078,hold,766.15694202,306.66211604350497,254.12698412698413,0.024731171355679926,0.024731815970711057
133,2023-05-30,0.41958,0.0078,hold,766.15694202,321.47192973275156,266.4,0.04829358735379485,0.04829481574016237
134,2023-05-31,0.41566,0.0078,hold,766.15694202,318.46859452003315,263.9111111111111,-0.009342449324316382,-0.009342676009342687
135,2023-06-01,0.4055,0.0078,hold,766.15694202,310.68443998911,257.46031746031747,-0.024442455755032122,-0.02444305441947736
136,2023-06-02,0.42216,0.0078,hold,766.15694202,323.4486146431631,268.03809523809525,0.04108404867170212,0.041085080147965414
137,2023-06-03,0.41739,0.0078,hold,766.15694202,319.7940460297277,265.0095238095238,-0.011298761064310714,-0.011299033541785297
138,2023-06-04,0.43227,28.0478,sell,700.00000202,330.6368008731854,274.45714285714286,0.03390543062971774,0.03565011140659813
139,2023-06-05,0.40887,28.0478,hold,700.00000202,314.2568008259174,259.6,-0.04954076498444726,-0.054132833645638034
140,2023-06-06,0.42654,28.0478,hold,700.00000202,326.6258008616108,270.8190476190476,0.03935953017782157,0.04321667033531407
141,2023-06-07,0.41821,28.0478,hold,700.00000202,320.7948008447842,265.53015873015875,-0.017852233355248992,-0.01952923524171224
142,2023-06-08,0.41765,28.0478,hold,700.00000202,320.40280084365304,265.1746031746032,-0.0012219649448771408,-0.0013390401951173247
143,2023-06-09,0.428,28.0478,hold,700.00000202,327.64780086456,271.74603174603175,0.02261216194686866,0.024781515623129247
144,2023-06-10,0.40405,28.0478,hold,700.00000202,310.88280081618103,256.53968253968253,-0.051167747819888865,-0.05595794392523368
145,2023-06-11,0.41496,28.0478,hold,700.00000202,318.51980083821917,263.4666666666667,0.024565527594283765,0.027001608711793246
146,2023-06-12,0.41956,28.0478,hold,700.00000202,321.7398008475112,266.3873015873016,0.010109261656004565,0.011085405822247818
147,2023-06-13,0.41238,28.0478,hold,700.00000202,316.7138008330076,261.8285714285714,-0.015621318846050003,-0.01711316617408709
148,2023-06-14,0.37886,28.0478,hold,700.00000202,293.2498007652972,240.54603174603173,-0.07408581503551903,-0.08128425238857373
149,2023-06-15,0.37547,28.0478,hold,700.00000202,290.8768007584494,238.3936507936508,-0.008092077132379805,-0.008947896320540494
150,2023-06-16,0.37097,28.0478,hold,700.00000202,287.7268007493594,235.53650793650795,-0.010829327058316407,-0.011984978826537374
151,2023-06-17,0.37399,28.0478,hold,700.00000202,289.8408007554598,237.45396825396827,0.0073472474604194815,0.008140820012400019
152,2023-06-18,0.37972,28.0478,hold,700.00000202,293.8518007670344,241.0920634920635,0.013838631418075176,0.015321265274472529
153,2023-06-19,0.38578,28.0478,hold,700.00000202,298.0938007792756,244.93968253968256,0.01443584827851474,0.015959127778363058
154,2023-06-20,0.38649,28.0478,hold,700.00000202,298.5908007807098,245.3904761904762,0.001667260439951912,0.0018404271864791433
155,2023-06-21,0.39177,28.0478,hold,700.00000202,302.2868007913754,248.74285714285713,0.012378144273038183,0.013661414266863181
156,2023-06-22,0.38765,165.7178,sell,350.00000202,301.395300783053,246.12698412698413,-0.0029491860246245727,-0.01051637440334885
157,2023-06-23,0.39013,165.7178,hold,350.00000202,302.26330078806257,247.7015873015873,0.0028799387474005567,0.00639752353927503
158,2023-06-24,0.38311,165.7178,hold,350.00000202,299.8063007738822,243.24444444444444,-0.008128674595210494,-0.017994001999333542
159,2023-06-25,0.38521,165.7178,hold,350.00000202,300.5413007781242,244.57777777777778,0.002451582913183481,0.005481454412570752
160,2023-06-26,0.37717,165.7178,hold,350.00000202,297.7273007618834,239.47301587301587,-0.009363105865833221,-0.020871732301861345
161,2023-06-27,0.3798,165.7178,hold,350.00000202,298.64780076719603,241.14285714285717,0.003091755451908762,0.006972983005011146
162,2023-06-28,0.36837,165.7178,hold,350.00000202,294.6473007441074,233.88571428571427,-0.013395377474107573,-0.030094786729857992
163,2023-06-29,0.37613,165.7178,hold,350.00000202,297.36330075978265,238.8126984126984,0.009217800430603829,0.021065776257567226
164,2023-06-30,0.37262,165.7178,hold,350.00000202,296.1348007526924,236.58412698412698,-0.004131310097619134,-0.00933187993512885
165,2023-07-01,0.37319,165.7178,hold,350.00000202,296.3343007538438,236.94603174603176,0.0006736796912905074,0.0015297085502656849
166,2023-07-02,0.3815,165.7178,hold,350.00000202,299.24280077063,242.2222222222222,0.009814928644396925,0.022267477692328175
167,2023-07-03,0.38608,165.7178,hold,350.00000202,300.84580077988164,245.1301587301587,0.005356854050033721,0.012005242463958066
